2012-01-23 17:34:54 Notice: Notice (8): Undefined property:  stdClass::$tipos_opcoes in [/srv/ftp/casadacaldeira/public_html/novo/views/produtos/visualizar.ctp, line 95]
2012-01-23 17:34:54 Notice: Notice (8): Trying to get property of non-object in [/srv/ftp/casadacaldeira/public_html/novo/views/produtos/visualizar.ctp, line 96]
2012-01-23 17:39:07 Notice: Notice (8): Undefined property:  stdClass::$tipos_opcoes in [/srv/ftp/casadacaldeira/public_html/novo/views/produtos/visualizar.ctp, line 95]
2012-01-23 17:39:07 Notice: Notice (8): Trying to get property of non-object in [/srv/ftp/casadacaldeira/public_html/novo/views/produtos/visualizar.ctp, line 96]
2012-01-23 17:39:38 Notice: Notice (8): Undefined property:  stdClass::$tipos_opcoes in [/srv/ftp/casadacaldeira/public_html/novo/views/produtos/visualizar.ctp, line 95]
2012-01-23 17:39:38 Notice: Notice (8): Trying to get property of non-object in [/srv/ftp/casadacaldeira/public_html/novo/views/produtos/visualizar.ctp, line 96]
2012-01-23 17:40:18 Notice: Notice (8): Undefined property:  stdClass::$tipos_opcoes in [/srv/ftp/casadacaldeira/public_html/novo/views/produtos/visualizar.ctp, line 95]
2012-01-23 17:40:18 Notice: Notice (8): Trying to get property of non-object in [/srv/ftp/casadacaldeira/public_html/novo/views/produtos/visualizar.ctp, line 96]
2012-01-23 17:42:35 Notice: Notice (8): Trying to get property of non-object in [/srv/ftp/casadacaldeira/public_html/novo/views/produtos/visualizar.ctp, line 141]
2012-01-23 17:43:33 Notice: Notice (8): Undefined property:  stdClass::$tipos_opcoes in [/srv/ftp/casadacaldeira/public_html/novo/views/produtos/visualizar.ctp, line 95]
2012-01-23 17:43:33 Notice: Notice (8): Trying to get property of non-object in [/srv/ftp/casadacaldeira/public_html/novo/views/produtos/visualizar.ctp, line 96]
2012-01-23 17:44:09 Notice: Notice (8): Undefined property:  stdClass::$tipos_opcoes in [/srv/ftp/casadacaldeira/public_html/novo/views/produtos/visualizar.ctp, line 95]
2012-01-23 17:44:09 Notice: Notice (8): Trying to get property of non-object in [/srv/ftp/casadacaldeira/public_html/novo/views/produtos/visualizar.ctp, line 96]
2012-01-23 17:44:21 Notice: Notice (8): Undefined property:  stdClass::$tipos_opcoes in [/srv/ftp/casadacaldeira/public_html/novo/views/produtos/visualizar.ctp, line 95]
2012-01-23 17:44:21 Notice: Notice (8): Trying to get property of non-object in [/srv/ftp/casadacaldeira/public_html/novo/views/produtos/visualizar.ctp, line 96]
2012-01-24 08:23:48 Notice: Notice (8): Undefined property:  stdClass::$tipos_opcoes in [/srv/ftp/casadacaldeira/public_html/novo/views/produtos/visualizar.ctp, line 95]
2012-01-24 08:23:48 Notice: Notice (8): Trying to get property of non-object in [/srv/ftp/casadacaldeira/public_html/novo/views/produtos/visualizar.ctp, line 96]
2012-01-24 08:38:38 Notice: Notice (8): Undefined property:  stdClass::$tipos_opcoes in [/srv/ftp/casadacaldeira/public_html/novo/views/produtos/visualizar.ctp, line 95]
2012-01-24 08:38:38 Notice: Notice (8): Trying to get property of non-object in [/srv/ftp/casadacaldeira/public_html/novo/views/produtos/visualizar.ctp, line 96]
2012-01-24 08:41:48 Notice: Notice (8): Undefined property:  stdClass::$tipos_opcoes in [/srv/ftp/casadacaldeira/public_html/novo/views/produtos/visualizar.ctp, line 95]
2012-01-24 08:41:48 Notice: Notice (8): Trying to get property of non-object in [/srv/ftp/casadacaldeira/public_html/novo/views/produtos/visualizar.ctp, line 96]
2012-01-24 08:43:57 Notice: Notice (8): Undefined property:  stdClass::$tipos_opcoes in [/srv/ftp/casadacaldeira/public_html/novo/views/produtos/visualizar.ctp, line 95]
2012-01-24 08:43:57 Notice: Notice (8): Trying to get property of non-object in [/srv/ftp/casadacaldeira/public_html/novo/views/produtos/visualizar.ctp, line 96]
2012-01-24 08:46:25 Notice: Notice (8): Undefined property:  stdClass::$tipos_opcoes in [/srv/ftp/casadacaldeira/public_html/novo/views/produtos/visualizar.ctp, line 95]
2012-01-24 08:46:25 Notice: Notice (8): Trying to get property of non-object in [/srv/ftp/casadacaldeira/public_html/novo/views/produtos/visualizar.ctp, line 96]
2012-01-24 08:48:54 Notice: Notice (8): Undefined property:  stdClass::$tipos_opcoes in [/srv/ftp/casadacaldeira/public_html/novo/views/produtos/visualizar.ctp, line 95]
2012-01-24 08:48:54 Notice: Notice (8): Trying to get property of non-object in [/srv/ftp/casadacaldeira/public_html/novo/views/produtos/visualizar.ctp, line 96]
2012-01-24 08:51:11 Notice: Notice (8): Undefined property:  stdClass::$tipos_opcoes in [/srv/ftp/casadacaldeira/public_html/novo/views/produtos/visualizar.ctp, line 95]
2012-01-24 08:51:11 Notice: Notice (8): Trying to get property of non-object in [/srv/ftp/casadacaldeira/public_html/novo/views/produtos/visualizar.ctp, line 96]
2012-01-24 08:51:24 Notice: Notice (8): Undefined property:  stdClass::$tipos_opcoes in [/srv/ftp/casadacaldeira/public_html/novo/views/produtos/visualizar.ctp, line 95]
2012-01-24 08:51:24 Notice: Notice (8): Trying to get property of non-object in [/srv/ftp/casadacaldeira/public_html/novo/views/produtos/visualizar.ctp, line 96]
2012-01-24 08:52:08 Notice: Notice (8): Undefined property:  stdClass::$tipos_opcoes in [/srv/ftp/casadacaldeira/public_html/novo/views/produtos/visualizar.ctp, line 95]
2012-01-24 08:52:08 Notice: Notice (8): Trying to get property of non-object in [/srv/ftp/casadacaldeira/public_html/novo/views/produtos/visualizar.ctp, line 96]
2012-01-24 08:52:50 Notice: Notice (8): Undefined property:  stdClass::$tipos_opcoes in [/srv/ftp/casadacaldeira/public_html/novo/views/produtos/visualizar.ctp, line 95]
2012-01-24 08:52:50 Notice: Notice (8): Trying to get property of non-object in [/srv/ftp/casadacaldeira/public_html/novo/views/produtos/visualizar.ctp, line 96]
2012-01-24 08:57:15 Notice: Notice (8): Undefined property:  stdClass::$tipos_opcoes in [/srv/ftp/casadacaldeira/public_html/novo/views/produtos/visualizar.ctp, line 95]
2012-01-24 08:57:15 Notice: Notice (8): Trying to get property of non-object in [/srv/ftp/casadacaldeira/public_html/novo/views/produtos/visualizar.ctp, line 96]
2012-01-24 08:58:03 Notice: Notice (8): Undefined property:  stdClass::$tipos_opcoes in [/srv/ftp/casadacaldeira/public_html/novo/views/produtos/visualizar.ctp, line 95]
2012-01-24 08:58:03 Notice: Notice (8): Trying to get property of non-object in [/srv/ftp/casadacaldeira/public_html/novo/views/produtos/visualizar.ctp, line 96]
2012-01-24 08:58:48 Notice: Notice (8): Undefined property:  stdClass::$tipos_opcoes in [/srv/ftp/casadacaldeira/public_html/novo/views/produtos/visualizar.ctp, line 95]
2012-01-24 08:58:48 Notice: Notice (8): Trying to get property of non-object in [/srv/ftp/casadacaldeira/public_html/novo/views/produtos/visualizar.ctp, line 96]
2012-01-24 08:59:07 Notice: Notice (8): Undefined property:  stdClass::$tipos_opcoes in [/srv/ftp/casadacaldeira/public_html/novo/views/produtos/visualizar.ctp, line 95]
